time_s,SPG
20.685478448867798,12.31
20.71786618232727,11.87
20.750197649002075,11.89
20.798425674438477,11.8
20.845840454101562,12.2
20.877623081207275,12.0
20.925753593444824,11.94
20.962807178497314,11.71
20.995099782943726,11.15
21.042957067489624,11.56
21.07528567314148,11.34
21.12388825416565,11.4
21.156266927719116,11.96
21.204606771469116,11.51
21.236165046691895,11.73
21.284140586853027,11.76
21.315762519836426,12.02
21.36365246772766,12.39
21.395618677139282,12.92
21.443661212921143,13.1
21.480801105499268,13.69
21.51257824897766,15.06
21.56077814102173,16.4
21.593123197555542,18.09
21.64109492301941,19.96
21.67283821105957,21.46
21.720888376235962,22.58
21.754964113235474,22.7
21.800776958465576,25.16
21.832576990127563,24.79
21.8805992603302,26.18
21.912562131881714,26.17
21.960723638534546,27.58
21.997400283813477,26.76
22.044940948486328,27.84
22.076860189437866,28.18
22.109204530715942,29.36
22.15722680091858,26.84
22.20525097846985,28.6
22.23744559288025,28.27
22.269867658615112,26.99
22.317809104919434,27.86
22.35016632080078,28.15
22.398134231567383,26.7
22.429997444152832,28.21
22.477640390396118,28.29
22.524821281433105,27.78
22.56214714050293,28.86
22.594211101531982,27.64
22.64250087738037,29.05
22.674935579299927,28.92
22.72246265411377,30.66
22.754409074783325,29.06
22.802378177642822,30.09
22.834049224853516,28.47
22.88191270828247,28.6
22.913846492767334,28.66
22.964735507965088,28.05
23.00385546684265,28.98
23.03760027885437,29.34
23.079572677612305,28.4
23.111374855041504,28.47
23.159634828567505,29.27
23.191583395004272,29.56
23.2396342754364,29.9
23.271392583847046,29.81
23.319194316864014,29.25
23.351181507110596,30.72
23.399163484573364,30.74
23.430640935897827,31.43
23.47895860671997,29.99
23.51124405860901,29.57
23.559316635131836,29.81
23.597574949264526,28.88
23.629206895828247,29.88
23.676805019378662,29.85
23.724665641784668,28.91
23.7563693523407,29.52
23.804344177246094,29.94
23.83655071258545,31.39
23.86834955215454,28.34
23.91590404510498,30.42
23.963321685791016,29.45
23.99511480331421,29.28
24.04272222518921,28.78
24.083656072616577,28.84
24.123623847961426,30.56
24.162208318710327,28.96
24.20359492301941,30.74
24.242873907089233,29.8
24.27270770072937,28.93
24.320770740509033,29.15
24.36115837097168,29.86
24.400524616241455,28.92
24.43261480331421,28.82
24.480570793151855,29.29
24.51227355003357,29.45
24.559882402420044,29.78
24.591970443725586,30.55
24.641570568084717,30.63
24.679676055908203,29.35
24.711917877197266,29.36
24.76018476486206,28.27
24.79198169708252,29.85
24.840109825134277,30.03
24.871938943862915,30.19
24.919889450073242,29.04
24.952306985855103,29.79
25.000069856643677,29.19
25.032079219818115,29.53
25.080016136169434,30.97
25.112022399902344,29.52
25.164259672164917,27.7
25.196287870407104,29.78
25.228349924087524,28.2
25.27851128578186,29.7
25.323734283447266,30.11
25.363946199417114,29.25
25.395960569381714,28.54
25.428354740142822,28.96
25.475868225097656,28.71
25.50826120376587,30.11
25.55640172958374,29.0
25.58853030204773,28.2
25.636147022247314,29.13
25.68351936340332,29.54
25.723482131958008,29.79
25.762491941452026,29.27
25.794546127319336,29.4
25.8429753780365,28.8
25.874993801116943,30.75
25.923478364944458,30.58
25.9553439617157,30.48
26.00336265563965,28.64
26.035519123077393,30.17
26.08353281021118,29.57
26.115501642227173,28.19
26.163323402404785,31.63
26.19538950920105,29.21
26.24333882331848,30.49
26.27908205986023,29.51
26.31074023246765,30.11
26.35876178741455,28.7
26.39092206954956,28.2
26.439069986343384,29.67
26.470996141433716,29.74
26.51947593688965,29.48
26.550546646118164,29.24
26.598132610321045,30.58
26.630348682403564,29.34
26.67802143096924,29.74
26.71023416519165,31.89
26.759790182113647,30.52
26.796273231506348,28.84
26.82844090461731,29.54
26.876457691192627,31.93
26.908379554748535,28.96
26.95633625984192,30.12
26.988123416900635,30.33
27.036566495895386,28.07
27.068397283554077,30.0
27.11618137359619,31.22
27.154091119766235,29.42
27.195865392684937,29.43
27.22791600227356,28.66
27.282860040664673,29.96
27.31320357322693,28.7
27.361173152923584,28.34
27.39349102973938,29.36
27.441516160964966,30.58
27.473503828048706,27.91
27.52143168449402,30.39
27.55377984046936,29.61
27.601965188980103,28.72
27.6341073513031,31.13
27.683433055877686,29.39
27.71370220184326,29.31
27.76167368888855,30.25
27.793591499328613,28.89
27.830686807632446,28.45
27.87817072868347,29.39
27.910044193267822,29.83
27.95839285850525,30.67
28.000876903533936,29.34
28.03270959854126,30.3
28.08067297935486,29.09
28.112448692321777,29.46
28.16038179397583,28.05
28.192622661590576,28.78
28.24059295654297,29.58
28.27296257019043,29.27
28.321556568145752,29.87
28.362387657165527,29.89
28.395821571350098,28.82
28.427870512008667,28.99
28.475807905197144,29.0
28.5136501789093,29.91
28.560813665390015,29.3
28.587677717208862,29.41
28.635584354400635,29.45
28.66775918006897,28.39
28.71579384803772,28.2
28.747764110565186,27.89
28.795858144760132,28.13
28.827911853790283,30.07
28.882142305374146,28.66
28.913142204284668,28.97
28.960891008377075,29.46
28.993077516555786,27.48
29.04106593132019,31.25
29.073386669158936,29.54
29.12134313583374,30.28
29.154322624206543,26.96
29.202059984207153,28.81
29.233625888824463,30.15
29.28183937072754,29.74
29.31392550468445,30.31
29.361838340759277,30.66
29.39403533935547,27.87
29.43132734298706,27.93
29.478402137756348,30.23
29.51038408279419,27.63
29.558355569839478,30.46
29.590516090393066,28.67
29.638535976409912,29.66
29.670902490615845,27.67
29.718912363052368,28.02
29.753381967544556,29.4
29.798375606536865,27.71
29.83013367652893,29.29
29.8780357837677,28.93
29.90977120399475,29.79
29.947429656982422,27.84
29.994969129562378,27.69
30.026954412460327,29.63
30.075145483016968,31.18
30.10686230659485,31.63
30.15517544746399,29.11
30.18709421157837,28.16
30.23555564880371,29.75
30.26742911338806,29.19
30.315560340881348,29.12
30.347697019577026,31.78
30.39587664604187,30.23
30.42785668373108,28.33
30.480756044387817,27.55
30.512276649475098,29.02
30.560359716415405,30.07
30.60051202774048,29.97
30.639933347702026,30.3
30.671844005584717,29.18
30.71945834159851,29.03
30.751306772232056,28.91
30.79920482635498,27.35
30.831153869628906,29.68
30.878777027130127,29.59
30.91162943840027,28.21
30.958287239074707,28.81
31.001493215560913,30.02
31.031879901885986,30.37
31.07744789123535,30.36
31.109235525131226,30.23
31.157249689102173,28.58
31.189605951309204,28.21
31.241090774536133,29.3
31.269875526428223,27.97
31.317920446395874,30.41
31.35007667541504,29.48
31.39785122871399,30.33
31.429497003555298,28.98
31.477750778198242,29.48
31.510664463043213,27.5
31.548099279403687,29.34
31.594980478286743,28.95
31.62694764137268,28.67
31.67536449432373,28.24
31.707367420196533,29.56
31.75490427017212,28.72
31.787087202072144,28.57
31.83550238609314,28.27
31.867894411087036,28.93
31.915921449661255,30.47
31.947917938232422,29.37
31.995604038238525,29.03
32.02867317199707,29.79
32.08033108711243,29.32
32.11354875564575,29.02
32.14597749710083,27.77
32.1940495967865,30.92
32.22599768638611,30.12
32.27438426017761,29.69
32.30633568763733,29.37
32.354567527770996,29.53
32.38654685020447,28.59
32.43450474739075,29.53
32.46642994880676,28.88
32.5145583152771,29.74
32.54653191566467,30.3
32.60022211074829,28.82
32.63743257522583,29.55
32.677911043167114,28.27
32.71005964279175,28.81
32.75904417037964,29.45
32.790040731430054,26.87
32.83811640739441,28.8
32.86993336677551,30.1
32.917821645736694,28.59
32.94970655441284,29.86
33.00046157836914,28.69
33.040114879608154,29.38
33.072418212890625,30.4
33.12038469314575,30.5
33.14613080024719,30.21
33.19415497779846,30.66
33.225852251052856,28.4
33.2783727645874,29.84
33.30614924430847,28.81
33.35423278808594,29.14
33.38608527183533,28.35
33.43458342552185,29.92
33.46640133857727,30.45
33.514031171798706,29.35
33.54601454734802,28.34
33.594117403030396,28.76
33.62616539001465,28.47
33.67984223365784,29.69
33.71174669265747,29.16
33.75978422164917,28.57
33.79207754135132,28.56
33.82437872886658,30.23
33.872488498687744,28.41
33.90475153923035,28.7
33.95281505584717,29.62
33.98462629318237,28.2
34.03287220001221,29.6
34.0650372505188,29.23
34.112913370132446,29.69
34.14505171775818,27.12
34.19759011268616,30.07
34.228970766067505,28.33
34.276875734329224,29.13
34.30869436264038,27.52
34.35621643066406,29.37
34.388498306274414,28.51
34.43653750419617,29.97
34.468947887420654,29.19
34.51669120788574,29.16
34.548731327056885,26.86
34.59680366516113,30.03
34.62888956069946,28.65
34.6768581867218,28.88
34.719818115234375,29.32
34.74611473083496,27.63
34.79412484169006,29.06
34.82594156265259,27.17
34.87395715713501,30.92
34.90656232833862,28.99
34.9542019367218,28.96
34.98630619049072,29.71
35.034120082855225,29.17
35.06588315963745,28.84
35.1135036945343,29.47
35.14544987678528,29.92
35.1935498714447,29.95
35.23955178260803,28.42
35.27908754348755,29.54
35.31878113746643,29.31
35.35926556587219,28.93
35.39153075218201,31.3
35.43939018249512,28.69
35.47106885910034,29.23
35.51891469955444,29.12
35.55072379112244,27.4
35.59816360473633,28.72
35.629950761795044,28.51
35.67788505554199,29.88
35.71017575263977,28.48
35.75940155982971,29.17
35.79617261886597,29.28
35.827948331832886,31.16
35.87547445297241,29.79
35.907307863235474,29.39
35.95491933822632,27.43
35.98706936836243,29.47
36.03510308265686,28.53
36.06746244430542,28.74
36.11546182632446,29.76
36.14719533920288,27.67
36.19538736343384,29.16
36.2274010181427,30.53
36.27498126029968,28.06
36.314013957977295,28.92
36.34542536735535,27.52
36.39357399940491,29.19
36.425835847854614,28.74
36.47344493865967,27.93
36.50573229789734,28.04
36.55363845825195,28.56
36.58532404899597,28.07
36.633315324783325,28.83
36.66533064842224,28.8
36.71318578720093,28.84
36.7450852394104,29.16
36.792757987976074,28.68
36.83893537521362,29.65
36.87871313095093,28.75
36.91077280044556,28.7
36.9592707157135,29.57
36.99105882644653,28.75
37.03883481025696,28.38
37.070921897888184,29.32
37.11896800994873,27.87
37.151286363601685,28.48
37.19901418685913,28.6
37.23062872886658,30.46
37.2785964012146,28.83
37.310389280319214,28.14
37.358760595321655,28.49
37.39618539810181,28.61
37.4283664226532,30.72
37.476340770721436,28.71
37.510143518447876,28.1
37.5580997467041,30.58
37.58795094490051,28.71
37.63587713241577,29.18
37.667686462402344,27.66
37.71665835380554,27.65
37.745789766311646,28.09
37.7932448387146,28.78
37.83830952644348,29.52
37.872053384780884,29.88
37.91457509994507,30.19
37.94530010223389,29.14
37.99354910850525,28.39
38.036508321762085,29.42
38.06833004951477,27.15
38.11615061759949,28.35
38.147801637649536,29.74
38.19585132598877,29.49
38.22744560241699,29.58
38.27606415748596,29.31
38.30788516998291,28.4
38.35584735870361,29.38
38.38801336288452,27.39
38.43082809448242,30.98
38.478421449661255,28.23
38.51080012321472,28.4
38.558775663375854,29.68
38.591066122055054,30.0
38.63278794288635,29.47
38.67083406448364,28.55
38.70327091217041,29.35
38.75720405578613,29.5
38.7829909324646,28.6
38.83126640319824,29.6
38.86332583427429,28.64
38.911425828933716,28.69
38.958356618881226,30.11
38.995851039886475,29.17
39.027976512908936,27.34
39.07596468925476,28.72
39.10779666900635,30.0
39.155858516693115,28.91
39.18801307678223,28.84
39.23609209060669,28.81
39.268049001693726,29.45
39.31591463088989,28.22
39.34762239456177,29.56
39.395933628082275,28.09
39.42791938781738,30.4
39.47800874710083,30.44
39.51310634613037,29.61
39.54503846168518,30.04
39.59309363365173,30.15
39.625391483306885,27.27
39.67347049713135,29.42
39.711798429489136,28.6
39.753288984298706,28.65
39.78546476364136,29.77
39.83312964439392,29.43
39.86522126197815,29.14
39.91330027580261,30.05
39.94509291648865,28.61
39.993613719940186,29.95
40.0306978225708,30.16
40.06785464286804,31.13
40.110358476638794,29.88
40.14203977584839,28.94
40.19060230255127,30.47
40.22249484062195,29.82
40.2704873085022,30.79
40.30243945121765,28.66
40.35489249229431,28.8
40.386467933654785,31.13
40.43460202217102,30.39
40.46783685684204,30.7
40.514760971069336,29.44
40.557456254959106,29.83
40.59510064125061,28.26
40.6273992061615,30.4
40.675424337387085,28.05
40.70732498168945,29.95
40.75493836402893,28.5
40.79662108421326,28.64
40.83435893058777,29.17
